No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
35064.0,35064.0,35064.0,35064.0,35064.0,34290.0,34482.0,34436.0,34397.0,33543.0,34460.0,35011.0,35014.0,35011.0,35013.0,34924,35021.0,35064
,,,,,,,,,,,,,,,16,,1
,,,,,,,,,,,,,,,NNW,,Changping
,,,,,,,,,,,,,,,4776,,35064
17532.5,2014.662559890486,6.522929500342231,15.729637234770705,11.5,71.09974336541265,94.65787077315701,14.958905587176211,44.182085507457046,1152.3013445428255,57.94000261752757,13.68611128792629,1007.7602777936445,1.5054954157264864,0.06036614971581985,,1.8538362696667714,
10122.24925597073,1.1772134318198135,3.4487523600478474,8.800217529431565,6.92228526242799,72.32692612502073,83.4417384209278,20.975331415701532,29.51979628553117,1103.0562821491635,54.31667439264078,11.365312950567228,10.225663530534897,13.822098888069783,0.7528993068240751,,1.3098083299251673,
1.0,2013.0,1.0,1.0,0.0,2.0,2.0,0.2856,1.8477,100.0,0.2142,-16.6,982.4,-35.1,0.0,,0.0,
8766.75,2014.0,4.0,8.0,5.75,18.0,34.0,2.0,22.0,500.0,15.6366,3.4,999.3,-10.2,0.0,,1.0,
17532.5,2015.0,7.0,16.0,11.5,46.0,72.0,7.0,36.0,800.0,46.0,14.7,1007.4,1.8,0.0,,1.5,
26298.25,2016.0,10.0,23.0,17.25,100.0,131.0,18.0,60.3582,1400.0,80.0,23.3,1016.0,14.2,0.0,,2.3,
35064.0,2017.0,12.0,31.0,23.0,882.0,999.0,310.0,226.0,10000.0,429.0,41.4,1036.5,27.2,52.1,,10.0,
